index,coachella_sentiment,coachella_yn,name,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
0,positive,yes,kokombil,0,#Coachella2015 tickets selling out in less than 40 minutes _Ù_¦_Ù___Ù___Ù÷_ÙÎµ_ÙÎµ_Ù___Ù_¦ http://t.co/SmoXyteIMJ,"[0.0, 0.0]",1/7/15 15:02,5.52963e+17,,Quito
1,positive,yes,MisssTaraaa10,2,RT @sudsybuddy: WAIT THIS IS ABSOLUTE FIRE _ÙÓ´_ÙÓ´_ÙÓ´ #Coachella2015 http://t.co/Ov2eCJtAvR,,1/7/15 15:02,5.52963e+17,united states,
2,positive,yes,NMcCracken805,0,#Coachella2015 #VIP passes secured! See you there bitchesssss,,1/7/15 15:01,5.52963e+17,"Costa Mesa, CA",
3,positive,yes,wxpnfm,1,PhillyÛªs @warondrugsjams will play #Coachella2015 &amp; #GovBall2015! Watch them on Jimmy Fallon: http://t.co/wzaAE5wYNT http://t.co/sFL9I5sD20,,1/7/15 15:01,5.52963e+17,"Philadelphia, PA and Worldwide",Quito
4,positive,yes,Caesears,0,If briana and her mom out to #Coachella2015  im out with them !!! _Ù÷Ý_Ù÷Ý_Ù÷Ý_ÙÕÄ,,1/7/15 15:00,5.52963e+17,,
5,positive,yes,donbosco_6,0,"West side is the best side!
#west #coas #Coachella2015 http://t.co/BhasNazMMU",,1/7/15 14:58,5.52963e+17,Cuenca Ecuador,Eastern Time (US & Canada)
6,positive,yes,__Mia630_,0,Coachella tickets are now sold out _Ù÷_ &amp; I had the opportunity to have bought them. I'm definitely going next year #Coachella2015 #Coachella,,1/7/15 14:58,5.52963e+17,CA. USA,Pacific Time (US & Canada)
7,positive,yes,OlgaKhmylev,0,#Coachella2015 I absolutely can NOT wait. This weekend is about to exceed EPIC EXPECTATIONS!!! :) Lineup is CRAZY!  http://t.co/7CQXKCprLH,,1/7/15 14:57,5.52962e+17,Buffalo//Moscow//Boston ,Eastern Time (US & Canada)
8,positive,yes,Ben_BigB_Davies,0,If someone got me to Coachella if be your friend for life #truth #desprate #Coachella2015 #Coachella http://t.co/MMDkTMOZfW,,1/7/15 14:54,5.52962e+17,The mighty bridgend !,
9,positive,yes,brevamo,83,RT @brownjenjen:  Õ http://t.co/mxCREvIlGP 712 Coachella 2015  Coachella 2015 makes space for rockers and ravers this year #Coachella2015 OhÛ_,,1/7/15 14:50,5.52961e+17,Utah,Pacific Time (US & Canada)
10,positive,yes,samhughes88,2,"RT @RogerCraigSmith: Dig these guys much! Can't wait to see them at #Coachella2015!
Two dudes creating incredible sounds.
@royalblooduk 
htÛ_",,1/7/15 14:50,5.5296e+17,"Cheshire, UK ",London
11,positive,yes,kathy009,0,"ÛÏ@NickDevLV: Officially official. #Coachella2015 http://t.co/cWBx8jb2n7Û
Please someone get me to Coachella this year, so wanna go",,1/7/15 14:48,5.5296e+17,England,
12,positive,yes,McBased,0,See you there! #Coachella2015 @IDK_Chillin @gina__elizabeth @#TwiterlessNikki,,1/7/15 14:47,5.5296e+17,HTX-CCTX,Eastern Time (US & Canada)
13,positive,yes,TheExperiencexX,0,Son im really trynna go to #Coachella2015,,1/7/15 14:41,5.52958e+17,,Pacific Time (US & Canada)
14,positive,yes,lindsayjfig,0,I just want to go to #Coachella2015 _Ù÷Ç_Ù_Á,,1/7/15 14:35,5.52957e+17,,Mountain Time (US & Canada)
15,positive,yes,carleystenson,1,So we got tickets to #Coachella2015 x what is it!? _Ù÷_Ù÷ _Ù_¦_Ù___Ù_á_Ù_¼_Ù_ü_Ù___Ù_µ,,1/7/15 14:34,5.52956e+17,,
16,positive,yes,KROCSTEDY,0,Can't wait until #Coachella this year. This will be my first time ever goin. Chyyeah!!! #Coachella2015 _ÙªÎ,,1/7/15 14:30,5.52955e+17,"From Long Beach, CA & beyond..",Alaska
17,positive,yes,edasemana,0,Just bought my #Coachella2015 tickets with @aylephant and Minh Do! I could already tell that 2015 is gonna be amazing!,"[37.4365235, -121.8783382]",1/7/15 14:30,5.52955e+17,California ,
18,positive,yes,happiiiiiiiii,1,"RT @EricHoang_: Someone sell me one car camping pass for Coachella weekend 2, please. #Coachella #Coachella2015 #Coachellatickets",,1/7/15 14:30,5.52955e+17,,
19,positive,yes,fucknambriz,0,"April can't come any sooner _Ù÷__Ù÷__Ù÷_ 

#Coachella2015","[33.83198733, -117.95680471]",1/7/15 14:29,5.52955e+17,Anaheim CA,Pacific Time (US & Canada)
20,positive,yes,LuisaInStereo,0,Woot woot! #Coachella2015 _Ù_ä_Ù_ä,,1/7/15 14:28,5.52955e+17,,Pacific Time (US & Canada)
21,positive,yes,GregWRoss,0,"#coachella2015  What's the fuss about AC/DC heading the line-up? Leonard Cohen blew everyone away there a couple of years back, both great!",,1/7/15 14:26,5.52955e+17,Burswood,Perth
22,positive,yes,Hey_Julee,1,RT @TeamCamillaB: Hope to see @CamillaBelle in Coachella #Coachella2015!,,1/7/15 14:26,5.52954e+17,,Central Time (US & Canada)
23,positive,yes,rgrocks,0,Prayer to #Coachella gods for #Coachella2015 #Coachellatickets someone sell me weekend 1 for face value please. Car camping too! Amen,,1/7/15 14:25,5.52954e+17,San Francisco,Pacific Time (US & Canada)
24,positive,yes,_SydArmstrong,0,I see @nlapi is ready for #Coachella2015 #coachellaNICK,,1/7/15 14:23,5.52954e+17,Los Angeles,Central Time (US & Canada)
25,positive,yes,pascalpellan,0,Young DroCHELLA | #Coachella #Coachella2015 http://t.co/X0tIMlrjSH,,1/7/15 14:22,5.52953e+17,Paris,Paris
26,positive,yes,Wajohnston3Will,0,Got my tickets for #Coachella2015 stoked as fuck,,1/7/15 14:21,5.52953e+17,,
27,positive,yes,shermhasheart,0,"I can't wait for ""and you shook me all night long"" at #Coachella2015",,1/7/15 14:18,5.52952e+17,Bloomington,Quito
28,positive,yes,mickeyditch,0,So HAPPY to announce that me and @NicolaBott have twins!!!! (tickets) #Coachella2015 http://t.co/83miyTqiff,"[-33.87105558, 151.20334792]",1/7/15 14:17,5.52952e+17,Sydney,London
29,positive,yes,JahhKobe,0,Super pumped for ACDC and Steely Dan #kickinitoldschoool #Coachella2015,,1/7/15 14:16,5.52952e+17,"Ashland, Oregon",Pacific Time (US & Canada)
30,positive,yes,mebullard1,0,Just got news we're going to #Coachella2015,,1/7/15 14:16,5.52952e+17,,
31,positive,yes,_caitbate_,0,LOL NVM YA BISH IS GOING TO #COACHELLA2015 #HALLELUJAH!!! http://t.co/kcLTkfhiiN,,1/7/15 14:14,5.52951e+17,New York City,Eastern Time (US & Canada)
32,positive,yes,RaphNasty,0,"If I got a #Coachella2015 ticket, how much better does that make me than you? #KingOfTheWhitePeople",,1/7/15 14:13,5.52951e+17,"San Diego, CA/Los Angeles, CA",
33,positive,yes,ChandlerMader,0,"I just got a casual text from my dad asking a simple question w/ an emoji ""what weekend were you thinking _Ù÷÷"" #Coachella2015åÀåÀåÀ @maderlife _ÙÕÄ","[47.33337043, -122.34953378]",1/7/15 14:11,5.52951e+17,,Arizona
34,positive,yes,RiggsVida,0,When you find out Coachella is in 3 months are your getting ready to find celebrities #Coachella2015 _ÙÎ_,,1/7/15 14:11,5.52951e+17,,
35,positive,yes,_taBz,0,ITS OFFICIAL @nycbritt #Coachella2015   _ÙÕÝ_Ù_äÏ¬÷Ûü_ÙÔª_Ù_¦,,1/7/15 14:09,5.5295e+17,"Saskatoon, SK CANADA",Mountain Time (US & Canada)
36,positive,yes,ashley_sfg,0,Just realized I'm off of work for #Coachella2015 weekend #2. I'M TOTALLY GOING!,,1/7/15 14:07,5.5295e+17,bay area,Pacific Time (US & Canada)
37,positive,yes,Leetzle_,0,"ÛÏ@czechmayte: @Leetzle_ and I have our #Coachella2015 tickets... But now we need a place to camp bc tickets are sold out. Help us _Ù÷__Ù÷_Û

PLZZZ",,1/7/15 14:01,5.52948e+17,Bay Area,
38,positive,yes,CTooleSaysStuff,1,RT @_kendallwood: The #Coachella2015 lineup from @CTooleSaysStuff is so colorful and honest: http://t.co/VVhQLmWzWu via @EliteDaily,,1/7/15 14:01,5.52948e+17,,
39,positive,yes,czechmayte,0,@Leetzle_ and I have our #Coachella2015 tickets... But now we need a place to camp bc tickets are sold out. Help us _Ù÷__Ù÷_,,1/7/15 14:01,5.52948e+17,seein' stars *_*,
40,positive,yes,HannahhRay,1,RT @sierralkbabe: So psyched for #Coachella2015 with @HannahhRay _Ù÷,,1/7/15 14:00,5.52948e+17,AR  / TX ,Central Time (US & Canada)
41,positive,yes,Kyra_IX,1,RT @Jammit08: See in the dessert @Kyra_IX @sammyslammr !!!!!! #Coachella2015 #RoundThree #Excited #ItsAllHappening,,1/7/15 14:00,5.52948e+17,Edmonton/Maskwacis,Mountain Time (US & Canada)
42,positive,yes,MicheleFin,0,Can't wait for #Coachella2015  _ÙÔÉ_ÙÎÛ_ÙÔÉ,"[42.36408252, -71.05697201]",1/7/15 13:58,5.52947e+17,Boston,Central Time (US & Canada)
43,positive,yes,_kendallwood,1,The #Coachella2015 lineup from @CTooleSaysStuff is so colorful and honest: http://t.co/VVhQLmWzWu via @EliteDaily,,1/7/15 13:58,5.52947e+17,Nueva York,Quito
44,positive,yes,Clumsy_Gabby,0,I need to go to #Coachella2015,,1/7/15 13:57,5.52947e+17,"Auckland,NZ",
45,positive,yes,EricHoang_,1,"Someone sell me one car camping pass for Coachella weekend 2, please. #Coachella #Coachella2015 #Coachellatickets",,1/7/15 13:57,5.52947e+17,"space city, texas",Central Time (US & Canada)
46,positive,yes,ccbella_rover,0,Don't wanna jinx it but I have an Instagram agreement for my Coachella trade! :-) #coachella2015 #instatrade,,1/7/15 13:57,5.52947e+17,,Pacific Time (US & Canada)
47,positive,yes,cristinaeromero,0,Your girl is going to #Coachella2015 _Ù÷È,,1/7/15 13:57,5.52947e+17,,
48,positive,yes,kuliano,1,RT @MaxG718: the LATEST #Coachella2015 lineup is too poppin' http://t.co/HsQSggoomc http://t.co/yBIbpxnsdm,,1/7/15 13:54,5.52946e+17,New York City,Eastern Time (US & Canada)
49,positive,yes,atia1126,0,Putting it in my plans to go see my boo @Drake at #Coachella2015,,1/7/15 13:54,5.52946e+17,LA FL DMV ATL NYC,Quito
50,positive,yes,hannah_frog,1,RT @zzzach_scott: See you in 99 days #Coachella2015 @hannah_frog http://t.co/dib4iCsyWh,,1/7/15 13:53,5.52946e+17,SoccerÛ¢ë_ë_ëÒ,Central Time (US & Canada)
51,positive,yes,joshua_aen,0,Got my weekend 2 pass for #coachella2015.  Pumped to be marking this #music festival off myÛ_ http://t.co/kkx94sYJV0,,1/7/15 13:52,5.52946e+17,"Denver, Colorado",Mountain Time (US & Canada)
52,positive,yes,BenjaminSimons,0,Still trying to find tickets for #Coachella2015 so hmu if you're selling!,,1/7/15 13:52,5.52946e+17,IV,Pacific Time (US & Canada)
53,positive,yes,LANGMarMendoza,0,"@RMSpuhler @mimi3000 @meiwen_liang You've been quoted in my #Storify story ""#Coachella2015 tickets sold out"" http://t.co/QP4TZWCIxL",,1/7/15 13:51,5.52946e+17,"Los Angeles, Calif.",Hawaii
54,positive,yes,ihoppermeredith,0,"If anyone has an extra Car Camping ticket, hit me up, our group needs one! #Coachella #Coachella2015 #Coachellatickets",,1/7/15 13:51,5.52946e+17,"Tempe, AZ",Pacific Time (US & Canada)
55,positive,yes,model_life2015,8,RT @Modelinia: The #Coachella2015 lineup has arrived! Here are 10 acts you MUST see at this year's festival: http://t.co/IWzxoxfiHj http://Û_,,1/7/15 13:50,5.52945e+17,,
56,positive,yes,_Belmarie,16,RT @OurFemaleRebel: Miley's getting ready for #Coachella2015 Bleach Blonde it is             _ÙÕà_ÙÕÉ_ÙÔ± http://t.co/k1MvQpRJyL,,1/7/15 13:49,5.52945e+17,,
57,positive,yes,FKB__,2,RT @JSterns7: Looking to buy a weekend one @coachella pass #coachella #Coachella2015 @TexasEDMFamily,,1/7/15 13:47,5.52945e+17,,Eastern Time (US & Canada)
58,positive,yes,_jennster21,0,I regret buying #EDCLV tickets... I want to go to Coachella so so bad!!!! _Ù÷__Ù÷__Ù÷_ who wants two edc tickets!?! #insomniac #Coachella2015 _ÙÕÐ_ÙÕÐ_ÙÕÐ_Ùª,,1/7/15 13:47,5.52945e+17,,
59,positive,yes,cruznkenga,0,Weekend 2 baby #Coachella2015 #wk2 #,,1/7/15 13:46,5.52944e+17,"Coachella, Ca",
60,positive,yes,isaafreak,0,#Coachella2015 week two YAAAAASSSSSSSS!!!! @xMusicalCells _ÙÎÈ_ÙÎÈ_Ù÷_Ù÷_Ù÷_Ù÷_Ù÷Ý_Ù÷Ý_Ù÷Ý_Ù÷,,1/7/15 13:45,5.52944e+17,,Alaska
61,positive,yes,Jammit08,1,See in the dessert @Kyra_IX @sammyslammr !!!!!! #Coachella2015 #RoundThree #Excited #ItsAllHappening,,1/7/15 13:45,5.52944e+17,Maskwacis Ab Canada,Arizona
62,positive,yes,ShayneOfficial,1,RT @sleazystfn: Guess is who is gonna wiggle wiggle at coachella! @chHELLOVENUS #Coachella2015 #Coachella #kpop #hellovenus http://t.co/19XÛ_,,1/7/15 13:44,5.52944e+17,"Bay Area, California",Pacific Time (US & Canada)
63,positive,yes,LeManbun_Vinh,0,See y'all at Coachella _Ù÷÷ #Coachella2015,"[32.85934729, -117.22100518]",1/7/15 13:44,5.52944e+17,San Diego,
64,positive,yes,_Kellavilla,1,RT @heyittsdreah: @_Kellavilla Soon _ÙÕ¥_ÙÎ«Ý¼_Ù_Á #Coachella2015,,1/7/15 13:43,5.52944e+17,,
65,positive,yes,MissGallo,0,Two words you never want to see...#Coachella2015 http://t.co/ziAviNDVfD,"[0.0, 0.0]",1/7/15 13:42,5.52943e+17,NYC | LA | SF,Quito
66,positive,yes,RavingGanja,4,RT @booyouwhores: so yeah IÛªm looking for a weekend 1 coachella ticket! please RT to help me find one thanks #Coachella2015 #coachellaforsaÛ_,,1/7/15 13:42,5.52943e+17,Wonderland,
67,positive,yes,CachuWinkyface,0,"looking for two GA #Coachella #Coachella2015 tickets + car camping
#crychella2k15",,1/7/15 13:42,5.52943e+17,,Pacific Time (US & Canada)
68,positive,yes,vanneciaa,0,So #Coachella2015 is actually happening_Ùª,"[26.29515919, -80.19953947]",1/7/15 13:39,5.52943e+17,,Eastern Time (US & Canada)
69,positive,yes,silvertonguee,1,"RT @allison_huntley: Okay, here I fixed it #FifthHarmony #Coachella #Coachella2015 http://t.co/3tnGJqhqKt",,1/7/15 13:37,5.52942e+17,Los Angeles,Pacific Time (US & Canada)
70,positive,yes,kendall_paige,2,"RT @elithekidd: Looking for #coachella2015 passes 
Ï¬Someone be my savior please Ï¬",,1/7/15 13:33,5.52941e+17,"San Luis Obispo, CA",Pacific Time (US & Canada)
71,positive,yes,Pimp_Down_,1,RT @nick_thaAnimal: If it comes down to it I'll go James Bond mode #Coachella2015,,1/7/15 13:32,5.52941e+17,"City of Festivals, Cali",Arizona
72,positive,yes,whitbarb912,0,I'm ready for #Coachella2015,,1/7/15 13:32,5.52941e+17,Los Angeles,Pacific Time (US & Canada)
73,positive,yes,lexander_tran,0,See y'all @ #Coachella2015 _Ù÷__Ù_¦ http://t.co/JJwPyNsetu,,1/7/15 13:31,5.52941e+17,,
74,positive,yes,elithekidd,2,"Looking for #coachella2015 passes 
Ï¬Someone be my savior please Ï¬",,1/7/15 13:31,5.52941e+17,Los Angeles // Marina Del Rey ,
75,positive,yes,WaGaBakgatla,0,"I want to write an essay, but I won't. #Coachella2015 http://t.co/tQERsD99BZ",,1/7/15 13:25,5.52939e+17,Worldwide,Greenland
